QuestionID	Question	DocumentID	DocumentTitle	SentenceID	Sentence	Label
0	Who is the author of the book , `` The Iron Lady : A Biography of Margaret Thatcher '' ?	D0	doctitle	0	the IRON LADY ; A Biography of Margaret Thatcher by Hugo Young -LRB- Farrar , Straus & Giroux -RRB-	1
0	Who is the author of the book , `` The Iron Lady : A Biography of Margaret Thatcher '' ?	D0	doctitle	1	in this same revisionist mold , Hugo Young , the distinguished British journalist , has performed a brilliant dissection of the notion of Thatcher as a conservative icon .	1
0	Who is the author of the book , `` The Iron Lady : A Biography of Margaret Thatcher '' ?	D0	doctitle	2	in `` The Iron Lady , '' Young traces the winding staircase of fortune that transformed the younger daughter of a provincial English grocer into the greatest woman political leader since Catherine the Great .	1
0	Who is the author of the book , `` The Iron Lady : A Biography of Margaret Thatcher '' ?	D0	doctitle	3	`` He is the very essence of the classless meritocrat , '' says Hugo Young , Thatcher 's biographer .	1
0	Who is the author of the book , `` The Iron Lady : A Biography of Margaret Thatcher '' ?	D0	doctitle	4	From her father , Young argues , she inherited a `` joyless earnestness '' that combined with her early interest in science to produce the roots of her public character .	0
0	Who is the author of the book , `` The Iron Lady : A Biography of Margaret Thatcher '' ?	D0	doctitle	5	And boys they were , teen-agers too young for the exercise of informed free will , yet sent on missions to Vietnam that many would later consider immoral .	0
0	Who is the author of the book , `` The Iron Lady : A Biography of Margaret Thatcher '' ?	D0	doctitle	6	This simple , powerful , engaging prose -LRB- translated from the Chinese -RRB- is the work of a young writer who at <num> was sent away from her family for eight years to a poverty-stricken northern province of China to fulfill the Cultural Revolutionary requirement of intellectuals .	0
0	Who is the author of the book , `` The Iron Lady : A Biography of Margaret Thatcher '' ?	D0	doctitle	7	To read Young is to discover that certain suspect analogies have informed the American perception of Thatcher as a conservative heroine .	0
0	Who is the author of the book , `` The Iron Lady : A Biography of Margaret Thatcher '' ?	D0	doctitle	8	Neither the assumption that Thatcher 's road to Damascus parallels Ronald Reagan 's own timely evolution from New Deal enthusiast to conservative idealogue , nor the thesis that the Iron Lady took the Tory party by storm in a political coup a la Barry Goldwater , survives Young 's analysis .	0
0	Who is the author of the book , `` The Iron Lady : A Biography of Margaret Thatcher '' ?	D0	doctitle	9	Young makes a persuasive case for the view that Thatcher 's less-than-true-blue ideology was mirrored in her policies .	0
0	Who is the author of the book , `` The Iron Lady : A Biography of Margaret Thatcher '' ?	D0	doctitle	10	The Tory campaign manifesto drawn up for the <num> election that made Thatcher prime minister , in Young 's words , `` openly contemplated the perpetuation of the comfortable welfare state . ''	0
0	Who is the author of the book , `` The Iron Lady : A Biography of Margaret Thatcher '' ?	D0	doctitle	11	Young observes that `` There was a genuine clash of cultures , between an almost Cromwellian impatience with the status quo -LRB- on the part of the Thatcherites -RRB- and the mandarin world of Whitehall , in which skepticism and rumination were more highly rated habits of mind than zeal or blind conviction . ''	0
0	Who is the author of the book , `` The Iron Lady : A Biography of Margaret Thatcher '' ?	D0	doctitle	12	Despite Thatcher 's own ambition to go `` on and on , '' Young argues that in fact her era has come and gone .	0
0	Who is the author of the book , `` The Iron Lady : A Biography of Margaret Thatcher '' ?	D0	doctitle	13	`` Normally , I discourage people from entering politics if they have a young family and do n't have money , '' Barber said on Tuesday .	0
0	Who is the author of the book , `` The Iron Lady : A Biography of Margaret Thatcher '' ?	D0	doctitle	14	Major learned his politics as a Young Conservative on a soapbox in Brixton , a poor , racially mixed neighborhood in south London , where he took on the socialist Labor Party for its inept management of the area 's public housing projects .	0
0	Who is the author of the book , `` The Iron Lady : A Biography of Margaret Thatcher '' ?	D0	doctitle	15	BIOGRAPHY	0
0	Who is the author of the book , `` The Iron Lady : A Biography of Margaret Thatcher '' ?	D0	doctitle	16	This second volume of Ward 's lively and psychologically revealing biography begins with his honeymoon abroad in <num> and concludes with his election as Governor of New York in <num> .	0
0	Who is the author of the book , `` The Iron Lady : A Biography of Margaret Thatcher '' ?	D0	doctitle	17	The central riddle revealed here is why , as a woman in a man 's world , Margaret Thatcher evinces such an exclusionary attitude toward women .	0
0	Who is the author of the book , `` The Iron Lady : A Biography of Margaret Thatcher '' ?	D0	doctitle	18	The author , whose career as a political columnist has coincided with Thatcher 's as political leader , describes two qualities that are her greatest strengths : her `` sense of moral rectitude '' and her political intuition .	0
0	Who is the author of the book , `` The Iron Lady : A Biography of Margaret Thatcher '' ?	D0	doctitle	19	The Pulitizer Prize-winning author 's second book in a projected four -volume work on the life of one of our most complex presidents .	0
0	Who is the author of the book , `` The Iron Lady : A Biography of Margaret Thatcher '' ?	D0	doctitle	20	The author , a former investigative journalist , was able to elicit untapped recollections from Johnson 's old cronies .	0
0	Who is the author of the book , `` The Iron Lady : A Biography of Margaret Thatcher '' ?	D0	doctitle	21	SIMONE DE BEAUVOIR ; A Biography by Deirdre Bair -LRB- Summit Books -RRB-	0
0	Who is the author of the book , `` The Iron Lady : A Biography of Margaret Thatcher '' ?	D0	doctitle	22	It took the author , recipient of the National Book Award for her biography of Samuel Beckett , seven years to answer these questions .	0
0	Who is the author of the book , `` The Iron Lady : A Biography of Margaret Thatcher '' ?	D0	doctitle	23	As a member of the white master tribe of South Africa , the author grew up thinking himself a `` Just White Man . ''	0
0	Who is the author of the book , `` The Iron Lady : A Biography of Margaret Thatcher '' ?	D0	doctitle	24	Boundary lines for the new Middle East were arbitrarily drawn on `` an empty map '' without any input from the leaders of those countries themselves , says the author of this carefully researched book based on recently opened archival material .	0
0	Who is the author of the book , `` The Iron Lady : A Biography of Margaret Thatcher '' ?	D0	doctitle	25	A passionately told epic of China by Yale professor and historian Spence , author of eight other acclaimed works on China .	0
0	Who is the author of the book , `` The Iron Lady : A Biography of Margaret Thatcher '' ?	D0	doctitle	26	The author 's dilemma was where to begin in a recorded history that spans <num> years .	0
0	Who is the author of the book , `` The Iron Lady : A Biography of Margaret Thatcher '' ?	D0	doctitle	27	There are two aspects of the Margaret Thatcher phenomenon -- neither of which is addressed in this splendid British biography -- that every thinking American needs to keep in mind when assessing the achievements of this remarkable woman .	0
0	Who is the author of the book , `` The Iron Lady : A Biography of Margaret Thatcher '' ?	D0	doctitle	28	In ideological terms , the author makes it clear that , her paternal education in conservative sentiment aside , not only did Thatcher come to the true faith much later than Reagan , but that between <num> -LRB- when she first entered Parliament -RRB- and her crucial battle with Edward Heath for leadership of the Tory party in <num> , Thatcher had barely two conservative ideas to rub together .	0
0	Who is the author of the book , `` The Iron Lady : A Biography of Margaret Thatcher '' ?	D0	doctitle	29	A high school dropout who drifted from job to job until he caught on as a bank trainee and rose to become chancellor of the exchequer in Margaret Thatcher 's Cabinet , Major personifies the Conservative Party as rebuilt by Thatcher to recognize talent and reward merit .	0
0	Who is the author of the book , `` The Iron Lady : A Biography of Margaret Thatcher '' ?	D0	doctitle	30	Major , at <num> the youngest of Britain 's <num> prime ministers in this century , is himself a model of such a grit-and-guts rise out of poverty .	0
0	Who is the author of the book , `` The Iron Lady : A Biography of Margaret Thatcher '' ?	D0	doctitle	31	She has been active in local Huntingdon charities , and in <num> she published a biography of opera singer Joan Sutherland .	0
0	Who is the author of the book , `` The Iron Lady : A Biography of Margaret Thatcher '' ?	D0	doctitle	32	He will succeed Margaret Thatcher as prime minister .	0
0	Who is the author of the book , `` The Iron Lady : A Biography of Margaret Thatcher '' ?	D0	doctitle	33	ON THE ECONOMY : In the mold of Margaret Thatcher , Major is a rigorous free-marketeer who will follow her policies of selling nationalized industries and holding down government spending .	0
1	What was the monetary value of the Nobel Peace Prize in <num> ?	D1	doctitle	0	each Nobel Prize is worth $ <num> .	1
1	What was the monetary value of the Nobel Peace Prize in <num> ?	D1	doctitle	1	but , for some reason , one of the Dalai Lama 's biggest and best-known fans went undetected by the roving TV crews who wanted to know how the Nobel laureate beat out the other Nobel nominees , where he was going next on his whirlwind , worldwide `` Pilgrimage for Active Peace `` and what he was going to buy with his $ <num> in Peace Prize money .	1
1	What was the monetary value of the Nobel Peace Prize in <num> ?	D1	doctitle	2	Prize Worth $ <num>	0
1	What was the monetary value of the Nobel Peace Prize in <num> ?	D1	doctitle	3	The Nobel Prize in physics was awarded today to two Americans and a West German whose work led to the atomic clock used as an international standard .	0
1	What was the monetary value of the Nobel Peace Prize in <num> ?	D1	doctitle	4	The chemistry prize went to two Americans for the discovery of surprising properties of the genetic material RNA .	0
1	What was the monetary value of the Nobel Peace Prize in <num> ?	D1	doctitle	5	The Nobel Prize in chemistry is shared by Thomas Cech , <num> , of the University of Colorado , and Sidney Altman , <num> , of Yale University .	0
1	What was the monetary value of the Nobel Peace Prize in <num> ?	D1	doctitle	6	Half the physics prize will go to Ramsey , <num> .	0
1	What was the monetary value of the Nobel Peace Prize in <num> ?	D1	doctitle	7	Americans have shared or won the chemistry prize <num> times among the <num> times it has been awarded since <num> .	0
1	What was the monetary value of the Nobel Peace Prize in <num> ?	D1	doctitle	8	Fifty-two of the <num> recipients of the physics prize have been Americans .	0
1	What was the monetary value of the Nobel Peace Prize in <num> ?	D1	doctitle	9	He went unrecognized by the dozens of reporters on hand for the Dalai Lama 's first Lhasang , or mountain blessing , since the Tibetan god/king won the <num> Nobel Peace Prize <num> days ago .	0
1	What was the monetary value of the Nobel Peace Prize in <num> ?	D1	doctitle	10	But he took full advantage of the hoards of minicams and shotgun microphones aimed at him Tuesday during the first U.S. stop in his `` Pilgrimage for Active Peace , '' organized by Buddhist leader Tai Situpa XII .	0
1	What was the monetary value of the Nobel Peace Prize in <num> ?	D1	doctitle	11	upon his arrival by helicopter for the Lhasang ceremony , the pacific grin never left the Nobel laureate 's face .	0
1	What was the monetary value of the Nobel Peace Prize in <num> ?	D1	doctitle	12	Since his elevation by the Nobel Committee and , subsequently , the media , to the instant international status of Peace Prize winner , he has become a very different kind of god/ king .	0
1	What was the monetary value of the Nobel Peace Prize in <num> ?	D1	doctitle	13	When he agreed to take a break from filming at Disney studios and accompany the new Nobel laureate on his pilgrimage , Gere had planned to use his celebrity to help the Dalai Lama past the worst of the predatory press .	0
2	What does the Peugeot company manufacture ?	D2	doctitle	0	France 's Peugeot will deliver diesel motors for these trucks .	1
2	What does the Peugeot company manufacture ?	D2	doctitle	1	a few cable lengths distant from the Pyramids , Peugeot opened the doors of its Cairo plant to the press on <num> January , for the launching of its `` made in Egypt `` <num> .	1
2	What does the Peugeot company manufacture ?	D2	doctitle	2	by <num> , Peugeot aims to capture some <num> percent of the Egyptian market for personal automobiles .	1
2	What does the Peugeot company manufacture ?	D2	doctitle	3	Peugeot is increasing the capacity of its Canton plant , with plans calling for a capacity of <num> vehicles by <num> .	1
2	What does the Peugeot company manufacture ?	D2	doctitle	4	a basic agreement has been signed for the building of a second ultramodern plant capable of manufacturing <num> Peugeot <num> sedans annually by the year <num> .	1
2	What does the Peugeot company manufacture ?	D2	doctitle	5	in India , Peugeot plans to produce <num> Peugeot <num> sedans annually , near Bombay , beginning around the end of <num> .	1
