question,answer,len_q1,len_q2,diff_len,len_char_q1,len_char_q2,len_word_q1,len_word_q2,common_words,fuzz_qratio,fuzz_WRatio,fuzz_partial_ratio,fuzz_partial_token_set_ratio,fuzz_partial_token_sort_ratio,fuzz_token_set_ratio,fuzz_token_sort_ratio,wmd,norm_wmd,cosine_distance,cityblock_distance,jaccard_distance,canberra_distance,euclidean_distance,minkowski_distance,braycurtis_distance,skew_q1vec,skew_q2vec,kur_q1vec,kur_q2vec
a group of kids is playing in a yard and an old man is standing in the background,a group of boys in a yard is playing and a man is standing in the background,81,76,5,20,20,18,17,12,82,91,78,100,87,96,90,0.6703912761638559,0.26817594458026683,0.04748749649309192,4.236158072075341,1.0,87.88728540168329,0.308180139586807,0.1392677737833407,0.15402066341724846,0.20664589970488897,0.2621646611780591,-0.144126291485684,-0.0353493186827607
a group of children is playing in the house and there is no man standing in the background,a group of kids is playing in a yard and an old man is standing in the background,90,81,9,20,20,18,18,11,78,83,72,100,79,87,76,1.0720380547308526,0.4073467412486234,0.1371072329982922,7.253755705853109,1.0,123.06044014230088,0.5236549326194999,0.23429878248444766,0.2741368027357202,0.004630538665813152,0.20664589970488897,0.5461107302505104,-0.144126291485684
the young boys are playing outdoors and the man is smiling nearby,the kids are playing outdoors near a man with a smile,65,53,12,17,18,12,11,5,69,75,72,100,81,79,78,1.3934269218151742,0.5355473518015632,0.11438890141270741,6.636496356350108,1.0,112.82817200664468,0.47830722446666984,0.21613048991666436,0.24127277345555642,0.11008084214080971,0.15692140392121792,-0.27465168153239317,-0.41036891158521094
the kids are playing outdoors near a man with a smile,a group of kids is playing in a yard and an old man is standing in the background,53,81,-28,18,20,11,18,5,46,86,55,100,58,60,52,2.1436883725830165,0.8045309052576289,0.28109303400653385,10.324996586568886,1.0,143.56065958029427,0.7497907107834705,0.34093763954029993,0.39182233847485665,0.15692140392121792,0.20664589970488897,-0.41036891158521094,-0.144126291485684
the young boys are playing outdoors and the man is smiling nearby,a group of kids is playing in a yard and an old man is standing in the background,65,81,-16,17,20,12,18,5,53,58,55,100,56,61,53,2.272637064484664,0.8771149011010312,0.24715779390986647,9.540005605475017,1.0,135.90932932771236,0.7030758060555331,0.32305703121511636,0.36126594665807654,0.11008084214080971,0.20664589970488897,-0.27465168153239317,-0.144126291485684
two dogs are fighting,two dogs are wrestling and hugging,21,34,-13,13,14,4,6,3,69,86,76,100,81,73,62,1.8130420770401885,0.6262140034715367,0.3047286099894905,10.913031090109143,1.0,151.12834024342624,0.7806774044114084,0.3501900529175623,0.4155850729135268,-0.01404656877087007,0.06573121948714869,-0.4383189350015644,-0.35530378531763107
a brown dog is attacking another animal in front of the man in pants,two dogs are fighting,68,21,47,19,13,14,4,0,31,51,57,52,52,30,29,2.7874645548850197,1.1250597310992012,0.4054052419694113,12.804791287635453,1.0,166.73273083006055,0.9004501494770266,0.39807286978629147,0.5116076752901623,0.06582519238757331,-0.01404656877087007,-0.07729921691641017,-0.4383189350015644
a brown dog is attacking another animal in front of the man in pants,two dogs are wrestling and hugging,68,34,34,19,14,14,6,0,37,45,50,41,41,34,33,3.0248326440321205,1.123992523356527,0.39779489040263993,12.524216300545959,1.0,171.06159040363707,0.8919584111890067,0.3979712373751476,0.5028304856910655,0.06582519238757331,0.06573121948714869,-0.07729921691641017,-0.35530378531763107
nobody is riding the bicycle on one wheel,a person in a black jacket is doing tricks on a motorbike,41,57,-16,15,17,8,12,2,41,41,46,100,39,43,35,3.215377077880669,1.1723471553512097,0.44692817998018064,12.908969744166825,1.0,161.08771072910218,0.9454397985952047,0.42566956000915523,0.5105931331703458,0.047755608692613805,0.27446771476043197,-0.42481656123153,-0.19433398276249791
a person is riding the bicycle on one wheel,a man in a black jacket is doing tricks on a motorbike,43,54,-11,17,16,9,12,3,43,43,50,100,40,45,37,3.1163333601419447,1.1416188073412419,0.4483421812422729,13.007098429981852,1.0,160.63804438575625,0.9469342045788065,0.42717928723063253,0.5190271007934569,0.0235884445887956,0.3463719870212917,-0.22476749433970067,-0.023317771577784807
